PLCTAG_TimeOutScaricoLeganteGR                                  plc4/db5.dbw556:int
PLCTAG_TimeOutScaricoContalitri                                 plc4/db5.dbw558:int
PLCTAG_TimeOutScaricoRiciclato                                  plc4/db5.dbw560:int
PLCTAG_TimeOutScaricoViatop                                     plc4/db5.dbw562:int
PLCTAG_TimeOutScaricoMixer                                      plc4/db5.dbw580:int
PLCTAG_PermanenzaScaricoAggregati                               plc4/db5.dbw582:int
PLCTAG_PermanenzaScaricoFiller                                  plc4/db5.dbw584:int
PLCTAG_PermanenzaScaricoRiciclato                               plc4/db5.dbw586:int
PLCTAG_DB5_DBW588                                               plc4/db5.dbw588:int
PLCTAG_DB5_DBW590                                               plc4/db5.dbw590:int
PLCTAG_PermanenzaScaricoLeganteGR                               plc4/db5.dbw592:int
PLCTAG_SiloS7RitardoPosizionaSottoMixer                         plc4/db5.dbw594:int
PLCTAG_PercConsensoFillerRF                                     plc4/db5.dbd598:real
PLCTAG_PercConsensoAcquaRF                                      plc4/db5.dbd602:real
PLCTAG_GrigliaVibranteRic1RitardoStart                          plc4/db5.dbw606:int
PLCTAG_GrigliaVibranteRic1RitardoStop                           plc4/db5.dbw608:int
PLCTAG_GrigliaVibranteRic2RitardoStart                          plc4/db5.dbw610:int
PLCTAG_GrigliaVibranteRic2RitardoStop                           plc4/db5.dbw612:int
PLCTAG_GrigliaVibranteRic3RitardoStart                          plc4/db5.dbw614:int
PLCTAG_GrigliaVibranteRic3RitardoStop                           plc4/db5.dbw616:int
PLCTAG_GrigliaVibranteRic4RitardoStart                          plc4/db5.dbw618:int
PLCTAG_GrigliaVibranteRic4RitardoStop                           plc4/db5.dbw620:int
PLCTAG_VibratoriPredTempoOn                                     plc4/db5.dbw622:int
PLCTAG_VibratoriPredTempoOff                                    plc4/db5.dbw624:int
PLCTAG_VibratoriPredRicTempoOn                                  plc4/db5.dbw626:int
PLCTAG_VibratoriPredRicTempoOff                                 plc4/db5.dbw628:int
PLCTAG_SoffioAriaPredRicTempoOn                                 plc4/db5.dbw630:int
PLCTAG_SoffioAriaPredRicTempoOff                                plc4/db5.dbw632:int
PLCTAG_Tempo_Perm_Flap_Sc_Ric                                   plc4/db5.dbw634:int
PLCTAG_NrImpAttAntiadScarBilRic                                 plc4/db5.dbw636:int
PLCTAG_TempoSpruzAntiadScarBilR                                 plc4/db5.dbw638:int
PLCTAG_Tempo_On_Soffio_Silo_Filler                              plc4/db5.dbw640:int
PLCTAG_Tempo_Off_Soffio_Silo_Filler                             plc4/db5.dbw642:int
PLCTAG_Tempo_Rit_All_FC_Mixer                                   plc4/db5.dbw644:int       Tecnobeton 20170221
PLCTAG_NumCampionamentiCalcoloFlusso                            plc4/db5.dbw662:int
PLCTAG_MinimoPesataVeloce_Kg                                    plc4/db5.dbd664:real
PLCTAG_PesataFineA1_Kg                                          plc4/db5.dbw668:int
PLCTAG_PesataFineA2_Kg                                          plc4/db5.dbw670:int
PLCTAG_PesataFineA3_Kg                                          plc4/db5.dbw672:int
PLCTAG_PesataFineA4_Kg                                          plc4/db5.dbw674:int
PLCTAG_PesataFineA5_Kg                                          plc4/db5.dbw676:int
PLCTAG_PesataFineA6_Kg                                          plc4/db5.dbw678:int
PLCTAG_PesataFineRAP_Kg                                         plc4/db5.dbw680:int
PLCTAG_PesataFineNV_Kg                                          plc4/db5.dbw682:int
PLCTAG_CoefficienteGrossaFineA1_Kg                              plc4/db5.dbd684:real
PLCTAG_CoefficienteGrossaFineA2_Kg                              plc4/db5.dbd688:real
PLCTAG_CoefficienteGrossaFineA3_Kg                              plc4/db5.dbd692:real
PLCTAG_CoefficienteGrossaFineA4_Kg                              plc4/db5.dbd696:real
PLCTAG_CoefficienteGrossaFineA5_Kg                              plc4/db5.dbd700:real
PLCTAG_CoefficienteGrossaFineA6_Kg                              plc4/db5.dbd704:real
PLCTAG_CoefficienteGrossaFineRAP_Kg                             plc4/db5.dbd708:real
PLCTAG_CoefficienteGrossaFineNV_Kg                              plc4/db5.dbd712:real
PLCTAG_CoefficienteFineChiusoA1_Kg                              plc4/db5.dbd716:real
PLCTAG_CoefficienteFineChiusoA2_Kg                              plc4/db5.dbd720:real
PLCTAG_CoefficienteFineChiusoA3_Kg                              plc4/db5.dbd724:real
PLCTAG_CoefficienteFineChiusoA4_Kg                              plc4/db5.dbd728:real
PLCTAG_CoefficienteFineChiusoA5_Kg                              plc4/db5.dbd732:real
PLCTAG_CoefficienteFineChiusoA6_Kg                              plc4/db5.dbd736:real
PLCTAG_CoefficienteFineChiusoRAP_Kg                             plc4/db5.dbd740:real
PLCTAG_CoefficienteFineChiusoNV_Kg                              plc4/db5.dbd744:real
PLCTAG_CoefficienteGrossaChiusoA1_Kg                            plc4/db5.dbd748:real
