Lista tags in wamfoam
sono stati raggruppati i tags  (vedi nmin..nmax)
----------------------------------------------------------------+-----+-----------------------------------------------------------------------------------
Nome tag                                                        | I/O |Descrizione
All_032_idx                                                     |  I  |
All_033_idx                                                     |  I  |Pompa bitume spenta
All_034_idx                                                     |  I  |Pompa H2O spenta
All_035_idx                                                     |  I  |
All_036_idx                                                     |  I  |Valvola solvente aperta
All_037_idx                                                     |  I  |Bassa temperatura bitume
All_038_idx                                                     |  I  |Alta temperatura bitume
All_039_idx                                                     |  I  |Bassa temperatura bitume (massico)
All_040_idx                                                     |  I  |Alta temperatura bitume (massico)
All_041_idx                                                     |  I  |Bassa temperatura olio
All_042_idx                                                     |  I  |Alta temperatura olio
All_043_idx                                                     |  I  |
All_044_idx                                                     |  I  |
All_045_idx                                                     |  I  |Bassa pressione acqua
All_046_idx                                                     |  I  |Alta pressione acqua
All_047_idx                                                     |  I  |Bassa pressione rampa
All_048_idx                                                     |  I  |Alta pressione rampa
All_049_idx                                                     |  I  |Bassa temperatura rampa
All_050_idx                                                     |  I  |Alta temperatura rampa
All_051_idx                                                     |  I  |
All_052_idx                                                     |  I  |
All_053_idx                                                     |  I  |
All_054_idx                                                     |  I  |
All_055_idx                                                     |  I  |
All_056_idx                                                     |  I  |
All_057_idx                                                     |  I  |
All_058_idx                                                     |  I  |
All_059_idx                                                     |  I  |
All_060_idx                                                     |  I  |
All_061_idx                                                     |  I  |
All_062_idx                                                     |  I  |
All_063_idx                                                     |  I  |
All_064_idx                                                     |  I  |Anomalia lettura analogica peso aggregati
All_065_idx                                                     |  I  |Anomalia lettura analogica portata bitume
All_066_idx                                                     |  I  |Anomalia lettura analogica temperatura bitume
All_067_idx                                                     |  I  |Anomalia lettura analogica temperatura bitume (massico)
All_068_idx                                                     |  I  |Anomalia lettura analogica temperatura olio
All_069_idx                                                     |  I  |
All_070_idx                                                     |  I  |Anomalia lettura analogica pressione H2O
All_071_idx                                                     |  I  |Anomalia lettura analogica portata H2O
All_072_idx                                                     |  I  |Anomalia lettura analogica pressione rampa
All_073_idx                                                     |  I  |Anomalia lettura analogica temperatura rampa
All_074_idx                                                     |  I  |
All_075_idx                                                     |  I  |
All_076_idx                                                     |  I  |
All_077_idx                                                     |  I  |
All_078_idx                                                     |  I  |
All_079_idx                                                     |  I  |
All_080_idx                                                     |  I  |Timeout accensione pompa bitume SOFT
All_081_idx                                                     |  I  |Mancato ritorno accensione pompa bitume SOFT
All_082_idx                                                     |  I  |Pompa bitume SOFT accesa avanti e indietro
All_083_idx                                                     |  I  |Anomalia segnalata dalla pompa bitume SOFT
All_084_idx                                                     |  I  |Timeout valvola bitume SOFT
All_085_idx                                                     |  I  |Mancato ritorno valvola bitume SOFT
All_086_idx                                                     |  I  |Apertura e chiusura valvola bitume SOFT
All_087_idx                                                     |  I  |Timeout valvola immissione bitume SOFT
All_088_idx                                                     |  I  |Mancato ritorno valvola immissione bitume SOFT
All_089_idx                                                     |  I  |Apertura e chiusura valvola immissione bitume SOFT
All_090_idx                                                     |  I  |Timeout impulsi bitume SOFT
All_091_idx                                                     |  I  |Percentuale bitume SOFT errata
All_092_idx                                                     |  I  |Peso aggregati errato (SOFT)
All_093_idx                                                     |  I  |Ciclo interrotto (SOFT)
All_094_idx                                                     |  I  |Pompa bitume SOFT spenta
All_095_idx                                                     |  I  |Fuori tolleranza bitume SOFT
All_096_idx                                                     |  I  |
All_097_idx                                                     |  I  |Bassa temperatura bitume SOFT (massico)
All_098_idx                                                     |  I  |Alta temperatura bitume SOFT (massico)
All_099_idx                                                     |  I  |
All_100_idx                                                     |  I  |
All_101_idx                                                     |  I  |
All_102_idx                                                     |  I  |
All_103_idx                                                     |  I  |
All_104_idx                                                     |  I  |
All_105_idx                                                     |  I  |
All_106_idx                                                     |  I  |
All_107_idx                                                     |  I  |
All_108_idx                                                     |  I  |
All_109_idx                                                     |  I  |
All_110_idx                                                     |  I  |
All_111_idx                                                     |  I  |
All_112_idx                                                     |  I  |
All_113_idx                                                     |  I  |
All_114_idx                                                     |  I  |
All_115_idx                                                     |  I  |
All_116_idx                                                     |  I  |
All_117_idx                                                     |  I  |
All_118_idx                                                     |  I  |
All_119_idx                                                     |  I  |
All_120_idx                                                     |  I  |
All_121_idx                                                     |  I  |
All_122_idx                                                     |  I  |
All_123_idx                                                     |  I  |
All_124_idx                                                     |  I  |
All_125_idx                                                     |  I  |
All_126_idx                                                     |  I  |
All_127_idx                                                     |  I  |
All_128_idx                                                     |  I  |
horn_alarm_idx                                                  |  I  |Segnale acustico
lamp_alarm_idx                                                  |  I  |Segnale luminoso
alarm_on_idx                                                    |  I  |Allarme presente
alarm_reset_idx                                                 |  I  |Reset allarmi
IvalvBitumeON_idx                                               |  I  |Stato della valvola del bitume: aperta
IvalvBitumeOFF_idx                                              |  I  |Stato della valvola del bitume: chiusa (ricircolo)
IpompaBitumeAvanti_idx                                          |  I  |Stato della pompa del bitume: accesa avanti
IpompaBitumeIndietro_idx                                        |  I  |Stato della pompa del bitume: accesa indietro
IvalvImmissBitumeON_idx                                         |  I  |Stato della valvola di immissione del bitume: aperta
IvalvImmissBitumeOFF_idx                                        |  I  |Stato della valvola di immissione del bitume: chiusa
IpompaAcquaON_idx                                               |  I  |Stato della pompa acqua: accesa
IvalvAcquaON_idx                                                |  I  |Stato della valvola acqua: aperta (ricircolo)
IvalvAcquaOFF_idx                                               |  I  |Stato della valvola acqua: chiusa
IvalvImmissAcquaON_idx                                          |  I  |Stato della valvola di immissione acqua: aperta
IvalvImmissAcquaOFF_idx                                         |  I  |Stato della valvola di immissione acqua: chiusa
DosaggioInCorso_idx                                             |  I  |Procedura di dosaggio in corso
ManValvBitume_idx                                               |  O  |Comando manuale della valvola bitume
ManPompaBitume_idx                                              |  O  |Comando manuale della pompa bitume
ManPompaBitumeIndietro_idx                                      |  O  |Comando manuale della pompa bitume indietro
ManValvImmissioneBitume_idx                                     |  O  |Comando manuale della valvola immissione bitume
ManPompaAcqua_idx                                               |  O  |Comando manuale della pompa acqua
ManValvAcqua_idx                                                |  O  |Comando manuale della valvola acqua
ManValvImmissSolvente_idx                                       |  O  |Comando manuale della valvola immissione solvente
BitumeAperto_idx                                                |  O  |Segnalazione di bitume aperto
AbortCicloBitume_idx                                            |  O  |Interruzione del ciclo
StepBitume_idx                                                  |  I  |Passo di dosaggio del bitume
PercentualeBitume_idx                                           |  O  |Percentuale di dosaggio del bitume
SetImpulsiBitume_idx                                            |  O  |Numero di impulsi calcolati in base al peso inerti
ConteggioImpulsiBitume_idx                                      |  I  |Numero di impulsi conteggiati
MinPesoAggregati_idx                                            |  O  |Minimo peso degli aggregati (allarme se inferiore)
MinTemperaturaBitume_idx                                        |  O  |Minima temperatura del bitume (allarme se inferiore)
MaxTemperaturaBitume_idx                                        |  O  |Massima temperatura del bitume (allarme se superiore)
DeltaTemperaturaOlio_idx                                        |  O  |Differenza min/max fra temperatura bitume e olio
MinPressioneAcqua_idx                                           |  O  |Minima pressione dell'acqua (allarme se inferiore)
MaxPressioneAcqua_idx                                           |  O  |Massima pressione dell'acqua (allarme se superiore)
RitardoAvvioCiclo_idx                                           |  O  |Ritardo all'avvio del ciclo (dallo scarico aggregati)
RitardoAvvioCiclo_ET_idx                                        |  O  |Ritardo avvio ciclo tempo trascorso
RitardoAvvioBitume_idx                                          |  O  |Ritardo all'avvio del bitume (dall'acqua)
RitardoFineAcqua_idx                                            |  O  |Ritardo alla fine dell'acqua (dalla fine del bitume)
TempoValvBitume_idx                                             |  O  |Timeout comando di apertura/chiusura della valvola del bitume
TempoPompaBitume_idx                                            |  O  |Timeout accensione/spegnimento della pompa del bitume
TempoValvImmissBitume_idx                                       |  O  |Timeout comando di apertura/chiusura valvola immissione bitume
TempoBassaTempBitume_idx                                        |  O  |Timeout bassa temperatura del bitume
TempoPompaAcqua_idx                                             |  O  |Timeout accensione/spegnimento della pompa acqua
TempoValvAcqua_idx                                              |  O  |Timeout comando di apertura/chiusura valvola acqua
TempoValvSolvente_idx                                           |  O  |Timeout comando di apertura/chiusura valvola del solvente
TempoImpulsiBitume_idx                                          |  O  |Timeout nella sequenza degli impulsi del bitume
TolleranzaHard_idx                                              |  O  |Tolleranza sulla pesata
NettoBitumeHard_idx                                             |  I  |Netto bitume Hard in Kg
NumeroImpulsiKgHard_idx                                         |  I  |1/Numero di impulsi per Kg
VelocitaInverterHard_idx                                        |  I  |Velocità inverter
IvalvBSoftON_idx                                                |  I  |Stato della valvola del bitume: aperta
IvalvBSoftOFF_idx                                               |  I  |Stato della valvola del bitume: chiusa (ricircolo)
