CistTAG_Bitume_InclusioneContalitri                                               plc2/db5.dbx0.7:bool CistTAG_PARAMETRI
CistTAG_Bitume_DI_TermicaRiscCisterna10                                           plc2/db8.dbx89.1:bool
CistTAG_Emulsione_DO_ValvOlioCisterna1                                            plc2/db8.dbx352.0:booplc2/db8.dbx352.0:bool
CistTAG_Emulsione_DO_ValvOlioCisterna2                                            plc2/db8.dbx352.1:bool
CistTAG_Emulsione_DO_ValvOlioCisterna3                                            plc2/db8.dbx352.2:bool
CistTAG_Emulsione_DO_ValvOlioCisterna4                                            plc2/db8.dbx352.3:bool
CistTAG_Emulsione_DO_ValvOlioCisterna5                                            plc2/db8.dbx352.4:bool
CistTAG_Emulsione_DO_ValvOlioCisterna6                                            plc2/db8.dbx352.5:bool
CistTAG_Emulsione_DO_ValvOlioCisterna7                                            plc2/db8.dbx352.6:bool
CistTAG_Emulsione_DO_ValvOlioCisterna8                                            plc2/db8.dbx352.7:bool
CistTAG_Emulsione_DO_ValvOlioCisterna9                                            plc2/db8.dbx353.0:bool
CistTAG_Emulsione_DO_ValvOlioCisterna10                                           plc2/db8.dbx353.1:bool
CistTAG_Emulsione_AbilitaRegTempCisterna                                          plc2/db8.dbx353.2:booplc2/db8.dbx353.2:bool
CistTAG_Emulsione_InclusioneOrologio                                              plc2/db8.dbx353.3:bool
CistTAG_Emulsione_SetTempCisterna1                                                plc2/db8.dbd354:real
CistTAG_Emulsione_SetTempCisterna2                                                plc2/db8.dbd358:real
CistTAG_Emulsione_SetTempCisterna3                                                plc2/db8.dbd362:real
CistTAG_Emulsione_SetTempCisterna4                                                plc2/db8.dbd366:real
CistTAG_Emulsione_SetTempCisterna5                                                plc2/db8.dbd370:real
CistTAG_Emulsione_SetTempCisterna6                                                plc2/db8.dbd374:real
CistTAG_Emulsione_SetTempCisterna7                                                plc2/db8.dbd378:real
CistTAG_Emulsione_SetTempCisterna8                                                plc2/db8.dbd382:real
CistTAG_Emulsione_SetTempCisterna9                                                plc2/db8.dbd386:real
CistTAG_Emulsione_SetTempCisterna10                                               plc2/db8.dbd390:real
CistTAG_Emulsione_DO_BoostOlioCisterna1                                           plc2/db8.dbx394.0:bool
CistTAG_Emulsione_DO_BoostOlioCisterna2                                           plc2/db8.dbx394.1:bool
CistTAG_Emulsione_DO_BoostOlioCisterna3                                           plc2/db8.dbx394.2:bool
CistTAG_Emulsione_DO_BoostOlioCisterna4                                           plc2/db8.dbx394.3:bool
CistTAG_Emulsione_DO_BoostOlioCisterna5                                           plc2/db8.dbx394.4:bool
CistTAG_Emulsione_DO_BoostOlioCisterna6                                           plc2/db8.dbx394.5:bool
CistTAG_Emulsione_DO_BoostOlioCisterna7                                           plc2/db8.dbx394.6:bool
CistTAG_Emulsione_DO_BoostOlioCisterna8                                           plc2/db8.dbx394.7:bool
CistTAG_Emulsione_DO_BoostOlioCisterna9                                           plc2/db8.dbx395.0:bool
CistTAG_Emulsione_DO_BoostOlioCisterna10                                          plc2/db8.dbx395.1:bool
CistTAG_Emulsione_DI_SicRiscValvCisterna1                                         plc2/db8.dbx436.0:bool
CistTAG_Emulsione_DI_SicRiscValvCisterna2                                         plc2/db8.dbx436.1:bool
CistTAG_Emulsione_DI_SicRiscValvCisterna3                                         plc2/db8.dbx436.2:bool
CistTAG_Emulsione_DI_SicRiscValvCisterna4                                         plc2/db8.dbx436.3:bool
CistTAG_Emulsione_DI_SicRiscValvCisterna5                                         plc2/db8.dbx436.4:bool
CistTAG_Emulsione_DI_SicRiscValvCisterna6                                         plc2/db8.dbx436.5:bool
CistTAG_Emulsione_DI_SicRiscValvCisterna7                                         plc2/db8.dbx436.6:bool
CistTAG_Emulsione_DI_SicRiscValvCisterna8                                         plc2/db8.dbx436.7:bool
CistTAG_Emulsione_DI_SicRiscValvCisterna9                                         plc2/db8.dbx437.0:bool
CistTAG_Emulsione_DI_SicRiscValvCisterna10                                        plc2/db8.dbx437.1:bool
CistTAG_Emulsione_DI_SicRiscBoostCisterna1                                        plc2/db8.dbx438.0:bool
CistTAG_Emulsione_DI_SicRiscBoostCisterna2                                        plc2/db8.dbx438.1:bool
CistTAG_Emulsione_DI_SicRiscBoostCisterna3                                        plc2/db8.dbx438.2:bool
CistTAG_Emulsione_DI_SicRiscBoostCisterna4                                        plc2/db8.dbx438.3:bool
CistTAG_Emulsione_DI_SicRiscBoostCisterna5                                        plc2/db8.dbx438.4:bool
CistTAG_Emulsione_DI_SicRiscBoostCisterna6                                        plc2/db8.dbx438.5:bool
CistTAG_Emulsione_DI_SicRiscBoostCisterna7                                        plc2/db8.dbx438.6:bool
CistTAG_Emulsione_DI_SicRiscBoostCisterna8                                        plc2/db8.dbx438.7:bool
CistTAG_Emulsione_DI_SicRiscBoostCisterna9                                        plc2/db8.dbx439.0:bool
CistTAG_Emulsione_DI_SicRiscBoostCisterna10                                       plc2/db8.dbx439.1:bool
CistTAG_Emulsione_DI_TermicaRiscCisterna1                                         plc2/db8.dbx440.0:bool
CistTAG_Emulsione_DI_TermicaRiscCisterna2                                         plc2/db8.dbx440.1:bool
CistTAG_Emulsione_DI_TermicaRiscCisterna3                                         plc2/db8.dbx440.2:bool
CistTAG_Emulsione_DI_TermicaRiscCisterna4                                         plc2/db8.dbx440.3:bool
CistTAG_Emulsione_DI_TermicaRiscCisterna5                                         plc2/db8.dbx440.4:bool
CistTAG_Emulsione_DI_TermicaRiscCisterna6                                         plc2/db8.dbx440.5:bool
CistTAG_Emulsione_DI_TermicaRiscCisterna7                                         plc2/db8.dbx440.6:bool
CistTAG_Emulsione_DI_TermicaRiscCisterna8                                         plc2/db8.dbx440.7:bool
CistTAG_Emulsione_DI_TermicaRiscCisterna9                                         plc2/db8.dbx441.0:bool
CistTAG_Emulsione_DI_TermicaRiscCisterna10                                        plc2/db8.dbx441.1:bool
CistTAG_Combustibile_DO_ValvOlioCisterna1                                         plc2/db8.dbx704.0:bool
CistTAG_Combustibile_DO_ValvOlioCisterna2                                         plc2/db8.dbx704.1:bool
CistTAG_Combustibile_DO_ValvOlioCisterna3                                         plc2/db8.dbx704.2:bool
CistTAG_Combustibile_DO_ValvOlioCisterna4                                         plc2/db8.dbx704.3:bool
CistTAG_Combustibile_DO_ValvOlioCisterna5                                         plc2/db8.dbx704.4:bool
CistTAG_Combustibile_DO_ValvOlioCisterna6                                         plc2/db8.dbx704.5:bool
CistTAG_Combustibile_DO_ValvOlioCisterna7                                         plc2/db8.dbx704.6:bool
CistTAG_Combustibile_DO_ValvOlioCisterna8                                         plc2/db8.dbx704.7:bool
CistTAG_Combustibile_DO_ValvOlioCisterna9                                         plc2/db8.dbx705.0:bool
CistTAG_Combustibile_DO_ValvOlioCisterna10                                        plc2/db8.dbx705.1:bool
CistTAG_Combustibile_AbilitaRegTempCisterna                                       plc2/db8.dbx705.2:bool
CistTAG_Combustibile_InclusioneOrologio                                           plc2/db8.dbx705.3:bool
CistTAG_Combustibile_SetTempCisterna1                                             plc2/db8.dbd706:real
