Lista tags in plc2
sono stati raggruppati i tags  (vedi nmin..nmax)
----------------------------------------------------------------+-----+-----------------------------------------------------------------------------------
Nome tag                                                        | I/O |Descrizione
CistTAG_Bitume_Valvola_0..22_PARA_Tempo_Trigger_FC              |  O  |
CistTAG_Bitume_Valvola_0..22_CMD_Valvola                        |  O  |
CistTAG_Bitume_Valvola_0..22_VALV_AP_Triggerata                 |  O  |
CistTAG_Bitume_Valvola_0..22_VALV_CH_Triggerata                 |  O  |
CistTAG_Bitume_Valvola_0..22_Codice_Allarme                     |  O  |
CistTAG_Bitume_Valvola_0..22_OUT_Tempo_AP                       |  O  |
CistTAG_Bitume_Valvola_0..22_OUT_Tempo_CH                       |  O  |
CistTAG_Bitume_Valvola_0..22_NR_Operazioni_Apertura             |  O  |
CistTAG_Bitume_Valvola_0..22_NR_Operazioni_Chiusura             |  O  |
CistTAG_Bitume_Valvola_23_VALV_AP_Triggerata                    |  O  |
CistTAG_Bitume_Valvola_23_VALV_CH_Triggerata                    |  O  |
CistTAG_Bitume_Valvola_23_Codice_Allarme                        |  O  |
CistTAG_Bitume_Valvola_24_VALV_AP_Triggerata                    |  O  |
CistTAG_Bitume_Valvola_24_VALV_CH_Triggerata                    |  O  |
CistTAG_Bitume_Valvola_24_Codice_Allarme                        |  O  |
CistTAG_Bitume_Valvola_25_VALV_AP_Triggerata                    |  O  |
CistTAG_Bitume_Valvola_25_VALV_CH_Triggerata                    |  O  |
CistTAG_Bitume_Valvola_25_Codice_Allarme                        |  O  |
CistTAG_Emulsione_Valvola_0..13_FC_Valvola_Aperta               |  O  |
CistTAG_Emulsione_Valvola_0..13_FC_Valvola_Chiusa               |  O  |
CistTAG_Emulsione_Valvola_0..13_DI_Apertura                     |  I  |
CistTAG_Emulsione_Valvola_0..13_DI_Chiusura                     |  I  |
CistTAG_Emulsione_Valvola_0..13_DI_Blocco_Temperatura           |  I  |
CistTAG_Emulsione_Valvola_0..13_PARA_Inversione_Comando_Valvola |  O  |
CistTAG_Emulsione_Valvola_0..13_PARA_EN_Gestione_Valvola        |  O  |
CistTAG_Emulsione_Valvola_0..13_PARA_EN_Tipo_Valvola_Manuale    |  O  |
CistTAG_Emulsione_Valvola_0..13_PARA_EN_CMD_Doppio              |  O  |
CistTAG_Emulsione_Valvola_0..13_PARA_TimeOut_Scambio_AP         |  O  |
CistTAG_Emulsione_Valvola_0..13_PARA_TimeOut_Scambio_CH         |  O  |
CistTAG_Emulsione_Valvola_0..13_PARA_Tempo_Trigger_FC           |  O  |
CistTAG_Emulsione_Valvola_0..13_CMD_Valvola                     |  O  |
CistTAG_Emulsione_Valvola_0..13_VALV_AP_Triggerata              |  O  |
CistTAG_Emulsione_Valvola_0..13_VALV_CH_Triggerata              |  O  |
CistTAG_Emulsione_Valvola_0..13_Codice_Allarme                  |  O  |
CistTAG_Emulsione_Valvola_0..13_OUT_Tempo_AP                    |  O  |
CistTAG_Emulsione_Valvola_0..13_OUT_Tempo_CH                    |  O  |
CistTAG_Emulsione_Valvola_0..13_NR_Operazioni_Apertura          |  O  |
CistTAG_Emulsione_Valvola_0..13_NR_Operazioni_Chiusura          |  O  |
CistTAG_Combustibile_Valvola_0..9_FC_Valvola_Aperta             |  O  |
CistTAG_Combustibile_Valvola_0..9_FC_Valvola_Chiusa             |  O  |
CistTAG_Combustibile_Valvola_0..9_DI_Apertura                   |  I  |
CistTAG_Combustibile_Valvola_0..9_DI_Chiusura                   |  I  |
CistTAG_Combustibile_Valvola_0..9_DI_Blocco_Temperatura         |  I  |
CistTAG_Combustibile_Valvola_0..9_PARA_Inversione_Comando_Valvol|  O  |
CistTAG_Combustibile_Valvola_0..9_PARA_EN_Gestione_Valvola      |  O  |
CistTAG_Combustibile_Valvola_0..9_PARA_EN_Tipo_Valvola_Manuale  |  O  |
CistTAG_Combustibile_Valvola_0..9_PARA_EN_CMD_Doppio            |  O  |
CistTAG_Combustibile_Valvola_0..9_PARA_TimeOut_Scambio_AP       |  O  |
CistTAG_Combustibile_Valvola_0..9_PARA_TimeOut_Scambio_CH       |  O  |
CistTAG_Combustibile_Valvola_0..9_PARA_Tempo_Trigger_FC         |  O  |
CistTAG_Combustibile_Valvola_0..9_CMD_Valvola                   |  O  |
CistTAG_Combustibile_Valvola_0..9_VALV_AP_Triggerata            |  O  |
CistTAG_Combustibile_Valvola_0..9_VALV_CH_Triggerata            |  O  |
