 plcname |                           basename1                            |                  basename2                   |       basename3        | num | start2 | end2 | start2 | end2 | start3 | end3 
 plc2    | CistTAG_Bitume_AbilitaRegTempCisterna                          |                                              |                        |     |        |      |        |      |        |     
 plc2    | CistTAG_Bitume_AbilitaValvSeparazione_                         | _2                                           |                        |   1 |      1 |    1 |        |      |        |     
 plc2    | CistTAG_Bitume_AbilitaValvSeparazione_                         | _3                                           |                        |   1 |      2 |    2 |        |      |        |     
 plc2    | CistTAG_Bitume_AckAllarme                                      |                                              |                        |     |        |      |        |      |        |     
 plc2    | CistTAG_Bitume_Allarme                                         |                                              |                        |  32 |      0 |   31 |        |      |        |     
 plc2    | CistTAG_Bitume_ArrestoEmergenzaValvole                         |                                              |                        |     |        |      |        |      |        |     
 plc2    | CistTAG_Bitume_AzzeraTaraCisternaNumero                        |                                              |                        |     |        |      |        |      |        |     
 plc2    | CistTAG_Bitume_Cisterna                                        | _AbilitaOrizzontale                          |                        |  10 |      1 |   10 |        |      |        |     
 plc2    | CistTAG_Bitume_Cisterna                                        | _AbilitaValvolaAux                           |                        |  10 |      1 |   10 |        |      |        |     
 plc2    | CistTAG_Bitume_Cisterna                                        | _AbilitaValvolaCarico                        |                        |  10 |      1 |   10 |        |      |        |     
 plc2    | CistTAG_Bitume_Cisterna                                        | _AbilitaValvolaMandata                       |                        |  10 |      1 |   10 |        |      |        |     
 plc2    | CistTAG_Bitume_Cisterna                                        | _AbilitaValvolaRitorno                       |                        |  10 |      1 |   10 |        |      |        |     
 plc2    | CistTAG_Bitume_Cisterna                                        | _AbilitazioneAgitatore                       |                        |  10 |      1 |   10 |        |      |        |     
 plc2    | CistTAG_Bitume_Cisterna                                        | _Agitatore_CmdAvvio                          |                        |  10 |      1 |   10 |        |      |        |     
 plc2    | CistTAG_Bitume_Cisterna                                        | _Agitatore_Ritorno                           |                        |  10 |      1 |   10 |        |      |        |     
 plc2    | CistTAG_Bitume_Cisterna                                        | _AllarmeCodiceGen                            |                        |  10 |      1 |   10 |        |      |        |     
 plc2    | CistTAG_Bitume_Cisterna                                        | _BloccoValvoleBassaTemperatura               |                        |  10 |      1 |   10 |        |      |        |     
 plc2    | CistTAG_Bitume_Cisterna                                        | _Densita                                     |                        |  10 |      1 |   10 |        |      |        |     
 plc2    | CistTAG_Bitume_Cisterna                                        | _DI_ValvAuxBloccoTemp                        |                        |  10 |      1 |   10 |        |      |        |     
 plc2    | CistTAG_Bitume_Cisterna                                        | _DI_ValvCaricoBloccoTemp                     |                        |  10 |      1 |   10 |        |      |        |     
 plc2    | CistTAG_Bitume_Cisterna                                        | _DI_ValvRitornoBloccoTemp                    |                        |  10 |      1 |   10 |        |      |        |     
 plc2    | CistTAG_Bitume_Cisterna                                        | _DiametroMm                                  |                        |  10 |      1 |   10 |        |      |        |     
 plc2    | CistTAG_Bitume_Cisterna                                        | _InclusioneAgitatore                         |                        |  10 |      1 |   10 |        |      |        |     
 plc2    | CistTAG_Bitume_Cisterna                                        | _LivelloMax_DI_Trigger                       |                        |  10 |      1 |   10 |        |      |        |     
 plc2    | CistTAG_Bitume_Cisterna                                        | _LivelloMin_DI_Trigger                       |                        |  10 |      1 |   10 |        |      |        |     
 plc2    | CistTAG_Bitume_Cisterna                                        | _LivelloPercentualeValore                    |                        |  10 |      1 |   10 |        |      |        |     
 plc2    | CistTAG_Bitume_Cisterna                                        | _LivelloSic_DI_Trigger                       |                        |  10 |      1 |   10 |        |      |        |     
 plc2    | CistTAG_Bitume_Cisterna                                        | _LivelloTonAllarmeMax                        |                        |  10 |      1 |   10 |        |      |        |     
 plc2    | CistTAG_Bitume_Cisterna                                        | _LivelloTonAllarmeMin                        |                        |  10 |      1 |   10 |        |      |        |     
 plc2    | CistTAG_Bitume_Cisterna                                        | _LivelloTonAllarmeZonaMorta                  |                        |  10 |      1 |   10 |        |      |        |     
 plc2    | CistTAG_Bitume_Cisterna                                        | _LivelloTonLimiteInf                         |                        |  10 |      1 |   10 |        |      |        |     
 plc2    | CistTAG_Bitume_Cisterna                                        | _LivelloTonLimiteSup                         |                        |  10 |      1 |   10 |        |      |        |     
 plc2    | CistTAG_Bitume_Cisterna                                        | _LivelloTonValore                            |                        |  10 |      1 |   10 |        |      |        |     
 plc2    | CistTAG_Bitume_Cisterna                                        | _LivelloUnitaLimiteInf                       |                        |  10 |      1 |   10 |        |      |        |     
 plc2    | CistTAG_Bitume_Cisterna                                        | _LivelloUnitaLimiteSup                       |                        |  10 |      1 |   10 |        |      |        |     
 plc2    | CistTAG_Bitume_Cisterna                                        | _LunghezzaMm                                 |                        |  10 |      1 |   10 |        |      |        |     
 plc2    | CistTAG_Bitume_Cisterna                                        | _NumeroValvolePresenti                       |                        |  10 |      1 |   10 |        |      |        |     
 plc2    | CistTAG_Bitume_Cisterna                                        | _PID_ControlZone                             |                        |  10 |      1 |   10 |        |      |        |     
 plc2    | CistTAG_Bitume_Cisterna                                        | _PID_GAIN                                    |                        |  10 |      1 |   10 |        |      |        |     
 plc2    | CistTAG_Bitume_Cisterna                                        | _PID_TD                                      |                        |  10 |      1 |   10 |        |      |        |     
 plc2    | CistTAG_Bitume_Cisterna                                        | _PID_TI                                      |                        |  10 |      1 |   10 |        |      |        |     
 plc2    | CistTAG_Bitume_Cisterna                                        | _TempGradiAllarmeMax                         |                        |  10 |      1 |   10 |        |      |        |     
 plc2    | CistTAG_Bitume_Cisterna                                        | _TempGradiAllarmeMin                         |                        |  10 |      1 |   10 |        |      |        |     
 plc2    | CistTAG_Bitume_Cisterna                                        | _TempGradiAllarmeZonaMorta                   |                        |  10 |      1 |   10 |        |      |        |     
 plc2    | CistTAG_Bitume_Cisterna                                        | _TempGradiLimiteInf                          |                        |  10 |      1 |   10 |        |      |        |     
 plc2    | CistTAG_Bitume_Cisterna                                        | _TempGradiLimiteSup                          |                        |  10 |      1 |   10 |        |      |        |     
 plc2    | CistTAG_Bitume_Cisterna                                        | _TempGradiValore                             |                        |  10 |      1 |   10 |        |      |        |     
 plc2    | CistTAG_Bitume_Cisterna                                        | _TempUnitaLimieSup                           |                        |   9 |      2 |   10 |        |      |        |     
 plc2    | CistTAG_Bitume_Cisterna                                        | _TempUnitaLimiteInf                          |                        |  10 |      1 |   10 |        |      |        |     
 plc2    | CistTAG_Bitume_Cisterna                                        | _TempUnitaLimitesup                          |                        |   1 |      1 |    1 |        |      |        |     
 plc2    | CistTAG_Bitume_Cisterna                                        | _TipoLivello                                 |                        |  10 |      1 |   10 |        |      |        |     
 plc2    | CistTAG_Bitume_Cisterna                                        | _ValvEntrata                                 | AllarmeCodice          |  20 |      1 |   10 |      1 |    2 |        |     
 plc2    | CistTAG_Bitume_Cisterna                                        | _ValvEntrata                                 | Close_DI_Trigger       |  20 |      1 |   10 |      1 |    2 |        |     
 plc2    | CistTAG_Bitume_Cisterna                                        | _ValvEntrata                                 | InverteComando         |  20 |      1 |   10 |      1 |    2 |        |     
 plc2    | CistTAG_Bitume_Cisterna                                        | _ValvEntrata                                 | Open_DI_Trigger        |  20 |      1 |   10 |      1 |    2 |        |     
 plc2    | CistTAG_Bitume_Cisterna                                        | _ValvEntrata                                 | TempoAntirimbalzoFC    |  20 |      1 |   10 |      1 |    2 |        |     
 plc2    | CistTAG_Bitume_Cisterna                                        | _ValvEntrata                                 | TempoTimeOutClose      |  20 |      1 |   10 |      1 |    2 |        |     
 plc2    | CistTAG_Bitume_Cisterna                                        | _ValvEntrata                                 | TempoTimeOutOpen       |  20 |      1 |   10 |      1 |    2 |        |     
 plc2    | CistTAG_Bitume_Cisterna                                        | _ValvUscita                                  | AllarmeCodice          |  20 |      1 |   10 |      1 |    2 |        |     
 plc2    | CistTAG_Bitume_Cisterna                                        | _ValvUscita                                  | Close_DI_Trigger       |  20 |      1 |   10 |      1 |    2 |        |     
 plc2    | CistTAG_Bitume_Cisterna                                        | _ValvUscita                                  | InverteComando         |  20 |      1 |   10 |      1 |    2 |        |     
 plc2    | CistTAG_Bitume_Cisterna                                        | _ValvUscita                                  | Open_DI_Trigger        |  20 |      1 |   10 |      1 |    2 |        |     
 plc2    | CistTAG_Bitume_Cisterna                                        | _ValvUscita                                  | TempoAntirimbalzoFC    |  20 |      1 |   10 |      1 |    2 |        |     
 plc2    | CistTAG_Bitume_Cisterna                                        | _ValvUscita                                  | TempoTimeOutClose      |  20 |      1 |   10 |      1 |    2 |        |     
 plc2    | CistTAG_Bitume_Cisterna                                        | _ValvUscita                                  | TempoTimeOutOpen       |  20 |      1 |   10 |      1 |    2 |        |     
 plc2    | CistTAG_Bitume_CisternaDestinazione_1                          |                                              |                        |     |        |      |        |      |        |     
 plc2    | CistTAG_Bitume_CisternaSorgente_                               |                                              |                        |   3 |      1 |    3 |        |      |        |     
 plc2    | CistTAG_Bitume_CMD_AzzeraTara                                  |                                              |                        |     |        |      |        |      |        |     
 plc2    | CistTAG_Bitume_CMD_StartOperazione_                            |                                              |                        |   2 |      1 |    2 |        |      |        |     
 plc2    | CistTAG_Bitume_CMD_StopOperazione_                             |                                              |                        |   2 |      1 |    2 |        |      |        |     
 plc2    | CistTAG_Bitume_CodiceOperazione_                               |                                              |                        |   2 |      1 |    2 |        |      |        |     
